sample date,trt,rep,tin number,tin wt (g),cores,wet wt (g),dry wt+tin,% Gravimetric Soil Moisture,Comments
3/30/2005,1,1,75,19.94,10,40.15,54.73,15.40672607,
3/30/2005,1,2,95,20.05,10,40.34,53.96,18.96195812,
3/30/2005,1,3,15,19.98,10,40.3,53.27,21.05737459,
3/30/2005,1,4,62,19.95,10,40.45,54.3,17.75836972,
3/30/2005,1,5,36,20.08,10,40.82,55.04,16.76201373,
3/30/2005,1,6,45,20.12,10,40.19,55.6,13.27508455,
3/30/2005,2,1,59,19.96,10,41.06,54.63,18.4309201,
3/30/2005,2,2,50,20.44,10,40.82,55.5,16.42897889,
3/30/2005,2,3,70,20.24,10,40.57,53.52,21.90504808,
3/30/2005,2,4,91,20.05,10,40,52.92,21.69151202,
3/30/2005,21,5,28,19.97,10,30.76,46.23,17.13632902,"I think the problem here is that the balance was not tared with the empty tin.  The balance was probably tared for the u-cup prior to the tin, so it probably read around -10g before the tin was placed on it and not tared.  So before any soil was placed in the tin, it is likely the balance showed approx. +10g.  Using this reasoning, the % soil moisture for this plot is around 17.14."
3/30/2005,2,6,10,20.22,10,41.95,56.17,16.68984701,
3/30/2005,3,1,7,20.04,10,40.9,55.04,16.85714286,
3/30/2005,3,2,82,19.97,10,40.36,54.29,17.5990676,
3/30/2005,3,3,49,20.18,10,40.31,54.33,18.03806735,
3/30/2005,3,4,57,20.05,10,41.87,54.8,20.48920863
3/30/2005,3,5,39,20.15,10,41.82,54.5,21.74672489
3/30/2005,3,6,4,20.04,10,42.7,56.67,16.57111657
3/30/2005,4,1,94,20.32,10,41.28,54.78,19.7910621
3/30/2005,4,2,29,20.12,10,41.02,54.56,19.10569106
3/30/2005,4,3,87,20.03,10,40.12,53.14,21.1718514
3/30/2005,4,4,31,20,10,42.55,55.06,21.36337707
3/30/2005,4,5,79,20.03,10,42.03,54.68,21.2987013
3/30/2005,4,6,71,20.23,10,40.56,54.96,16.78663979
3/30/2005,5,1,18,20.02,10,40.66,53.79,20.40272431
3/30/2005,5,2,93,20.09,10,42.81,56.52,17.5130387
3/30/2005,5,3,90,20.36,10,42.89,57.19,16.45397774
3/30/2005,5,4,20,20.04,10,42.18,55.55,18.78344128
3/30/2005,5,5,24,20.08,10,43.37,56.14,20.27176927
3/30/2005,5,6,67,20.01,10,42.24,54.36,22.96943231
3/30/2005,6,1,11,19.81,10,42.46,55.31,19.6056338
3/30/2005,6,2,33,20.15,10,42.4,56.26,17.41899751,
3/30/2005,6,3,81,20.23,10,42.19,55.75,18.77815315,
3/30/2005,6,4,23,20.3,10,42.64,55.98,19.50672646,
3/30/2005,6,5,83,20.42,10,43.33,56.89,18.80998081,
3/30/2005,6,6,86,20.23,10,42.35,57.01,15.14410005,
3/30/2005,7,1,17,20.38,10,42.56,56.35,18.32082291,
3/30/2005,7,2,46,20.05,10,42.8,55.34,21.2808161,
3/30/2005,7,3,47,20.01,10,42.32,54.83,21.5393452,
3/30/2005,7,4,43,20.31,10,42.12,55.66,19.15134371,
3/30/2005,7,5,76,19.98,10,42.51,54.84,21.94492255,
3/30/2005,7,6,85,20.42,10,43.5,56.28,21.30507529,
3/30/2005,8,1,16,19.97,10,42.43,53.6,26.1671127,ok-soil was very wet
